filename,input_seq,target_seq
00098.png,"10,7,0,0,2","7,0,0,2,11"
00099.png,"10,4,6,2,6","4,6,2,6,11"
00100.png,"10,9,2,2,6","9,2,2,6,11"
00101.png,"10,1,6,5,1","1,6,5,1,11"
00102.png,"10,4,7,3,7","4,7,3,7,11"
00103.png,"10,3,7,2,6","3,7,2,6,11"
00104.png,"10,6,8,8,6","6,8,8,6,11"
00105.png,"10,8,6,7,2","8,6,7,2,11"
00106.png,"10,6,6,5,7","6,6,5,7,11"
00107.png,"10,2,3,3,4","2,3,3,4,11"
00108.png,"10,0,6,6,1","0,6,6,1,11"
00109.png,"10,1,0,8,4","1,0,8,4,11"
00110.png,"10,5,5,5,1","5,5,5,1,11"
00111.png,"10,4,3,5,2","4,3,5,2,11"
00112.png,"10,9,7,9,8","9,7,9,8,11"
00113.png,"10,3,9,0,1","3,9,0,1,11"
00114.png,"10,0,7,3,8","0,7,3,8,11"
00115.png,"10,2,7,7,9","2,7,7,9,11"
00116.png,"10,2,6,1,5","2,6,1,5,11"
00117.png,"10,7,4,9,9","7,4,9,9,11"
00118.png,"10,9,9,7,3","9,9,7,3,11"
00119.png,"10,7,9,6,6","7,9,6,6,11"
00120.png,"10,6,9,9,5","6,9,9,5,11"
00121.png,"10,4,7,3,5","4,7,3,5,11"
00122.png,"10,9,0,9,3","9,0,9,3,11"
00123.png,"10,3,4,6,1","3,4,6,1,11"
00124.png,"10,7,8,9,1","7,8,9,1,11"
00125.png,"10,6,4,1,0","6,4,1,0,11"
00126.png,"10,9,8,3,5","9,8,3,5,11"
00127.png,"10,0,7,9,2","0,7,9,2,11"
00128.png,"10,7,6,6,3","7,6,6,3,11"
00129.png,"10,2,0,3,8","2,0,3,8,11"
00130.png,"10,2,3,3,5","2,3,3,5,11"
00131.png,"10,1,7,1,7","1,7,1,7,11"
00132.png,"10,0,0,6,9","0,0,6,9,11"
00133.png,"10,2,1,8,1","2,1,8,1,11"
00134.png,"10,1,2,7,7","1,2,7,7,11"
00135.png,"10,5,7,0,3","5,7,0,3,11"
00136.png,"10,1,4,1,2","1,4,1,2,11"
00137.png,"10,4,1,2,3","4,1,2,3,11"
00138.png,"10,4,8,3,1","4,8,3,1,11"
00139.png,"10,3,7,4,8","3,7,4,8,11"
00140.png,"10,5,2,3,4","5,2,3,4,11"
00141.png,"10,6,9,0,7","6,9,0,7,11"
00142.png,"10,4,7,2,1","4,7,2,1,11"
00143.png,"10,8,7,6,5","8,7,6,5,11"
00144.png,"10,7,0,7,2","7,0,7,2,11"
00145.png,"10,6,1,2,0","6,1,2,0,11"
00146.png,"10,9,6,8,0","9,6,8,0,11"
00147.png,"10,9,1,2,2","9,1,2,2,11"
00148.png,"10,7,6,3,6","7,6,3,6,11"
00149.png,"10,1,1,4,0","1,1,4,0,11"
00150.png,"10,8,1,1,9","8,1,1,9,11"
00151.png,"10,2,4,6,4","2,4,6,4,11"
00152.png,"10,2,4,0,4","2,4,0,4,11"
00153.png,"10,9,1,4,4","9,1,4,4,11"
00154.png,"10,9,9,2,7","9,9,2,7,11"
00155.png,"10,9,8,8,9","9,8,8,9,11"
00156.png,"10,0,3,8,5","0,3,8,5,11"
00157.png,"10,7,7,6,3","7,7,6,3,11"
00158.png,"10,6,4,5,3","6,4,5,3,11"
00159.png,"10,1,6,7,2","1,6,7,2,11"
00160.png,"10,5,9,1,8","5,9,1,8,11"
00161.png,"10,7,3,2,3","7,3,2,3,11"
00162.png,"10,3,3,8,5","3,3,8,5,11"
00163.png,"10,0,3,2,6","0,3,2,6,11"
00164.png,"10,7,0,3,0","7,0,3,0,11"
00165.png,"10,8,6,2,9","8,6,2,9,11"
00166.png,"10,9,2,9,7","9,2,9,7,11"
00167.png,"10,8,4,7,3","8,4,7,3,11"
00168.png,"10,7,6,4,9","7,6,4,9,11"
00169.png,"10,7,3,1,6","7,3,1,6,11"
00170.png,"10,7,0,8,8","7,0,8,8,11"
00171.png,"10,0,1,9,8","0,1,9,8,11"
00172.png,"10,4,3,4,8","4,3,4,8,11"
00173.png,"10,0,7,1,1","0,7,1,1,11"
00174.png,"10,6,0,9,2","6,0,9,2,11"
00175.png,"10,0,1,0,9","0,1,0,9,11"
00176.png,"10,1,5,1,9","1,5,1,9,11"
00177.png,"10,0,5,8,9","0,5,8,9,11"
00178.png,"10,7,4,3,8","7,4,3,8,11"
00179.png,"10,9,0,5,6","9,0,5,6,11"
00180.png,"10,2,9,5,1","2,9,5,1,11"
00181.png,"10,0,4,8,4","0,4,8,4,11"
00182.png,"10,4,3,0,5","4,3,0,5,11"
00183.png,"10,7,0,2,6","7,0,2,6,11"
00184.png,"10,0,0,1,2","0,0,1,2,11"
00185.png,"10,1,3,6,9","1,3,6,9,11"
00186.png,"10,9,5,5,3","9,5,5,3,11"
00187.png,"10,6,0,1,8","6,0,1,8,11"
00188.png,"10,9,5,7,7","9,5,7,7,11"
00189.png,"10,5,4,7,4","5,4,7,4,11"
00190.png,"10,0,5,1,9","0,5,1,9,11"
00191.png,"10,8,1,2,9","8,1,2,9,11"
00192.png,"10,2,7,0,3","2,7,0,3,11"
00193.png,"10,9,8,6,6","9,8,6,6,11"
00194.png,"10,8,8,1,9","8,8,1,9,11"
00195.png,"10,8,9,0,1","8,9,0,1,11"
00196.png,"10,8,3,6,9","8,3,6,9,11"
00197.png,"10,3,2,4,1","3,2,4,1,11"
00198.png,"10,5,0,4,5","5,0,4,5,11"
00199.png,"10,7,7,7,5","7,7,7,5,11"
00200.png,"10,8,7,3,4","8,7,3,4,11"
00201.png,"10,0,4,9,8","0,4,9,8,11"
00202.png,"10,0,5,8,2","0,5,8,2,11"
00203.png,"10,8,4,5,2","8,4,5,2,11"
00204.png,"10,0,0,9,4","0,0,9,4,11"
00205.png,"10,3,6,4,9","3,6,4,9,11"
00206.png,"10,7,6,7,9","7,6,7,9,11"
00207.png,"10,9,8,2,0","9,8,2,0,11"
00208.png,"10,3,0,1,9","3,0,1,9,11"
00209.png,"10,2,7,1,1","2,7,1,1,11"
00210.png,"10,5,8,1,0","5,8,1,0,11"
00211.png,"10,8,1,0,5","8,1,0,5,11"
00212.png,"10,4,0,5,1","4,0,5,1,11"
00213.png,"10,1,6,1,4","1,6,1,4,11"
00214.png,"10,8,5,8,6","8,5,8,6,11"
00215.png,"10,4,9,0,8","4,9,0,8,11"
00216.png,"10,1,7,8,3","1,7,8,3,11"
00217.png,"10,2,6,3,5","2,6,3,5,11"
00218.png,"10,9,9,2,9","9,9,2,9,11"
00219.png,"10,0,8,0,2","0,8,0,2,11"
00220.png,"10,5,0,2,1","5,0,2,1,11"
00221.png,"10,5,1,2,0","5,1,2,0,11"
00222.png,"10,2,4,2,1","2,4,2,1,11"
00223.png,"10,2,9,5,1","2,9,5,1,11"
00224.png,"10,9,6,5,1","9,6,5,1,11"
00225.png,"10,1,2,5,7","1,2,5,7,11"
00226.png,"10,4,5,2,2","4,5,2,2,11"
00227.png,"10,4,9,4,4","4,9,4,4,11"
00228.png,"10,8,0,8,0","8,0,8,0,11"
00229.png,"10,7,5,8,9","7,5,8,9,11"
00230.png,"10,3,5,3,2","3,5,3,2,11"
00231.png,"10,3,2,2,9","3,2,2,9,11"
00232.png,"10,1,1,6,3","1,1,6,3,11"
00233.png,"10,2,7,9,4","2,7,9,4,11"
00234.png,"10,2,0,8,8","2,0,8,8,11"
00235.png,"10,3,1,3,2","3,1,3,2,11"
00236.png,"10,7,0,0,7","7,0,0,7,11"
00237.png,"10,3,1,2,5","3,1,2,5,11"
00238.png,"10,3,6,5,1","3,6,5,1,11"
00239.png,"10,0,0,6,9","0,0,6,9,11"
00240.png,"10,1,5,1,4","1,5,1,4,11"
00241.png,"10,0,6,3,7","0,6,3,7,11"
00242.png,"10,8,4,1,1","8,4,1,1,11"
00243.png,"10,1,0,0,0","1,0,0,0,11"
00244.png,"10,4,5,0,9","4,5,0,9,11"
00245.png,"10,0,3,0,9","0,3,0,9,11"
00246.png,"10,5,7,9,6","5,7,9,6,11"
00247.png,"10,0,2,4,7","0,2,4,7,11"
00248.png,"10,8,9,2,1","8,9,2,1,11"
00249.png,"10,7,7,1,6","7,7,1,6,11"
00250.png,"10,5,2,1,9","5,2,1,9,11"
00251.png,"10,3,9,4,2","3,9,4,2,11"
00252.png,"10,8,1,8,4","8,1,8,4,11"
00253.png,"10,3,6,1,5","3,6,1,5,11"
00254.png,"10,2,7,6,9","2,7,6,9,11"
00255.png,"10,5,0,2,1","5,0,2,1,11"
00256.png,"10,4,2,0,7","4,2,0,7,11"
00257.png,"10,0,6,1,3","0,6,1,3,11"
00258.png,"10,9,6,5,0","9,6,5,0,11"
00259.png,"10,7,7,1,4","7,7,1,4,11"
00260.png,"10,3,2,1,8","3,2,1,8,11"
00261.png,"10,9,7,3,4","9,7,3,4,11"
00262.png,"10,1,0,2,7","1,0,2,7,11"
00263.png,"10,8,8,4,4","8,8,4,4,11"
00264.png,"10,4,9,1,8","4,9,1,8,11"
00265.png,"10,9,9,2,4","9,9,2,4,11"
00266.png,"10,0,4,2,0","0,4,2,0,11"
00267.png,"10,6,2,4,1","6,2,4,1,11"
00268.png,"10,0,8,2,0","0,8,2,0,11"
00269.png,"10,3,5,7,9","3,5,7,9,11"
00270.png,"10,0,5,4,7","0,5,4,7,11"
00271.png,"10,2,4,7,8","2,4,7,8,11"
00272.png,"10,8,3,8,0","8,3,8,0,11"
00273.png,"10,7,3,5,9","7,3,5,9,11"
00274.png,"10,7,8,8,4","7,8,8,4,11"
00275.png,"10,9,3,9,2","9,3,9,2,11"
00276.png,"10,5,9,1,2","5,9,1,2,11"
00277.png,"10,7,8,5,0","7,8,5,0,11"
00278.png,"10,4,8,1,2","4,8,1,2,11"
00279.png,"10,7,7,9,2","7,7,9,2,11"
00280.png,"10,5,2,8,3","5,2,8,3,11"
00281.png,"10,8,4,8,0","8,4,8,0,11"
00282.png,"10,2,0,2,9","2,0,2,9,11"
00283.png,"10,8,5,7,3","8,5,7,3,11"
00284.png,"10,1,5,2,9","1,5,2,9,11"
00285.png,"10,8,1,4,7","8,1,4,7,11"
00286.png,"10,6,6,0,2","6,6,0,2,11"
00287.png,"10,6,8,7,8","6,8,7,8,11"
00288.png,"10,7,5,9,6","7,5,9,6,11"
00289.png,"10,0,6,5,4","0,6,5,4,11"
00290.png,"10,8,8,0,7","8,8,0,7,11"
00291.png,"10,3,8,0,6","3,8,0,6,11"
00292.png,"10,4,6,5,0","4,6,5,0,11"
00293.png,"10,5,5,7,7","5,5,7,7,11"
00294.png,"10,2,8,3,2","2,8,3,2,11"
00295.png,"10,5,4,1,3","5,4,1,3,11"
00296.png,"10,8,3,5,2","8,3,5,2,11"
00297.png,"10,6,7,7,2","6,7,7,2,11"
00298.png,"10,2,2,5,2","2,2,5,2,11"
00299.png,"10,9,7,6,2","9,7,6,2,11"
00300.png,"10,4,0,3,3","4,0,3,3,11"
00301.png,"10,8,6,2,5","8,6,2,5,11"
00302.png,"10,1,7,7,2","1,7,7,2,11"
00303.png,"10,2,6,0,7","2,6,0,7,11"
00304.png,"10,4,1,9,0","4,1,9,0,11"
00305.png,"10,6,1,1,6","6,1,1,6,11"
00306.png,"10,3,3,9,6","3,3,9,6,11"
00307.png,"10,3,0,3,8","3,0,3,8,11"
00308.png,"10,6,6,0,3","6,6,0,3,11"
00309.png,"10,5,8,5,3","5,8,5,3,11"
00310.png,"10,2,9,8,6","2,9,8,6,11"
00311.png,"10,5,1,1,6","5,1,1,6,11"
00312.png,"10,7,6,3,5","7,6,3,5,11"
00313.png,"10,8,3,2,5","8,3,2,5,11"
00314.png,"10,3,0,9,1","3,0,9,1,11"
00315.png,"10,9,8,0,3","9,8,0,3,11"
00316.png,"10,5,6,5,1","5,6,5,1,11"
00317.png,"10,5,5,1,4","5,5,1,4,11"
00318.png,"10,0,6,1,9","0,6,1,9,11"
00319.png,"10,3,3,7,2","3,3,7,2,11"
00320.png,"10,0,1,0,7","0,1,0,7,11"
00321.png,"10,0,5,0,1","0,5,0,1,11"
00322.png,"10,9,4,3,9","9,4,3,9,11"
00323.png,"10,3,2,8,0","3,2,8,0,11"
00324.png,"10,0,2,3,8","0,2,3,8,11"
00325.png,"10,5,6,3,6","5,6,3,6,11"
00326.png,"10,3,3,8,6","3,3,8,6,11"
00327.png,"10,5,9,7,7","5,9,7,7,11"
00328.png,"10,1,0,0,9","1,0,0,9,11"
00329.png,"10,1,3,2,3","1,3,2,3,11"
00330.png,"10,3,8,8,7","3,8,8,7,11"
00331.png,"10,0,0,8,9","0,0,8,9,11"
00332.png,"10,7,6,2,7","7,6,2,7,11"
00333.png,"10,7,8,8,9","7,8,8,9,11"
00334.png,"10,8,9,5,2","8,9,5,2,11"
00335.png,"10,7,2,6,0","7,2,6,0,11"
00336.png,"10,1,9,3,7","1,9,3,7,11"
00337.png,"10,5,8,6,6","5,8,6,6,11"
00338.png,"10,3,1,6,0","3,1,6,0,11"
00339.png,"10,7,3,2,1","7,3,2,1,11"
00340.png,"10,0,7,1,1","0,7,1,1,11"
00341.png,"10,5,6,5,8","5,6,5,8,11"
00342.png,"10,0,5,5,9","0,5,5,9,11"
00343.png,"10,4,6,9,8","4,6,9,8,11"
00344.png,"10,8,7,0,8","8,7,0,8,11"
00345.png,"10,0,3,5,2","0,3,5,2,11"
00346.png,"10,8,9,9,6","8,9,9,6,11"
00347.png,"10,7,5,7,9","7,5,7,9,11"
00348.png,"10,6,2,3,3","6,2,3,3,11"
00349.png,"10,3,1,4,6","3,1,4,6,11"
00350.png,"10,6,3,3,8","6,3,3,8,11"
00351.png,"10,3,1,8,8","3,1,8,8,11"
00352.png,"10,7,6,3,0","7,6,3,0,11"
00353.png,"10,5,4,3,5","5,4,3,5,11"
00354.png,"10,9,3,1,2","9,3,1,2,11"
00355.png,"10,0,3,1,9","0,3,1,9,11"
00356.png,"10,7,0,2,1","7,0,2,1,11"
00357.png,"10,5,2,5,3","5,2,5,3,11"
00358.png,"10,1,4,5,4","1,4,5,4,11"
00359.png,"10,0,4,0,2","0,4,0,2,11"
00360.png,"10,4,5,3,5","4,5,3,5,11"
00361.png,"10,1,0,8,1","1,0,8,1,11"
00362.png,"10,8,5,1,9","8,5,1,9,11"
00363.png,"10,4,1,4,4","4,1,4,4,11"
00364.png,"10,2,7,3,9","2,7,3,9,11"
00365.png,"10,5,8,1,8","5,8,1,8,11"
00366.png,"10,1,9,9,1","1,9,9,1,11"
00367.png,"10,0,8,0,5","0,8,0,5,11"
00368.png,"10,6,0,1,2","6,0,1,2,11"
00369.png,"10,2,1,0,2","2,1,0,2,11"
00370.png,"10,9,1,0,9","9,1,0,9,11"
00371.png,"10,6,6,1,6","6,6,1,6,11"
00372.png,"10,6,2,4,7","6,2,4,7,11"
00373.png,"10,0,1,8,3","0,1,8,3,11"
00374.png,"10,6,4,6,0","6,4,6,0,11"
00375.png,"10,2,6,1,2","2,6,1,2,11"
00376.png,"10,3,7,0,8","3,7,0,8,11"
00377.png,"10,3,1,8,9","3,1,8,9,11"
00378.png,"10,7,8,1,7","7,8,1,7,11"
00379.png,"10,5,9,0,5","5,9,0,5,11"
00380.png,"10,8,8,7,0","8,8,7,0,11"
00381.png,"10,0,3,7,4","0,3,7,4,11"
00382.png,"10,6,0,7,0","6,0,7,0,11"
00383.png,"10,7,2,0,0","7,2,0,0,11"
00384.png,"10,4,7,7,3","4,7,7,3,11"
00385.png,"10,6,2,3,6","6,2,3,6,11"
00386.png,"10,0,3,4,8","0,3,4,8,11"
00387.png,"10,2,3,1,0","2,3,1,0,11"
00388.png,"10,0,4,0,2","0,4,0,2,11"
00389.png,"10,0,2,5,2","0,2,5,2,11"
00390.png,"10,8,1,1,6","8,1,1,6,11"
00391.png,"10,0,8,7,3","0,8,7,3,11"
00392.png,"10,1,0,7,4","1,0,7,4,11"
00393.png,"10,0,2,2,8","0,2,2,8,11"
00394.png,"10,9,3,2,3","9,3,2,3,11"
00395.png,"10,1,4,2,3","1,4,2,3,11"
00396.png,"10,8,8,7,6","8,8,7,6,11"
00397.png,"10,5,0,1,7","5,0,1,7,11"
00398.png,"10,1,0,7,2","1,0,7,2,11"
00399.png,"10,3,2,5,9","3,2,5,9,11"
00400.png,"10,0,6,5,5","0,6,5,5,11"
00401.png,"10,3,3,3,4","3,3,3,4,11"
00402.png,"10,8,9,0,0","8,9,0,0,11"
00403.png,"10,8,0,3,2","8,0,3,2,11"
00404.png,"10,5,0,2,0","5,0,2,0,11"
00405.png,"10,5,5,2,2","5,5,2,2,11"
00406.png,"10,1,2,4,3","1,2,4,3,11"
00407.png,"10,6,5,6,8","6,5,6,8,11"
00408.png,"10,7,1,6,5","7,1,6,5,11"
00409.png,"10,4,1,9,5","4,1,9,5,11"
00410.png,"10,8,6,1,6","8,6,1,6,11"
00411.png,"10,1,9,8,9","1,9,8,9,11"
00412.png,"10,1,4,0,2","1,4,0,2,11"
00413.png,"10,7,9,1,6","7,9,1,6,11"
00414.png,"10,4,8,2,4","4,8,2,4,11"
00415.png,"10,3,6,3,9","3,6,3,9,11"
00416.png,"10,5,9,7,9","5,9,7,9,11"
00417.png,"10,9,3,6,9","9,3,6,9,11"
00418.png,"10,3,2,8,4","3,2,8,4,11"
00419.png,"10,5,5,6,9","5,5,6,9,11"
00420.png,"10,0,0,9,5","0,0,9,5,11"
00421.png,"10,3,2,6,9","3,2,6,9,11"
00422.png,"10,3,6,8,0","3,6,8,0,11"
00423.png,"10,4,8,2,1","4,8,2,1,11"
00424.png,"10,6,6,1,7","6,6,1,7,11"
00425.png,"10,2,4,5,9","2,4,5,9,11"
00426.png,"10,3,4,7,5","3,4,7,5,11"
00427.png,"10,1,3,8,8","1,3,8,8,11"
00428.png,"10,0,1,9,6","0,1,9,6,11"
00429.png,"10,6,8,7,9","6,8,7,9,11"
00430.png,"10,8,5,2,8","8,5,2,8,11"
00431.png,"10,8,2,2,1","8,2,2,1,11"
00432.png,"10,8,3,2,5","8,3,2,5,11"
00433.png,"10,6,3,2,8","6,3,2,8,11"
00434.png,"10,1,7,1,2","1,7,1,2,11"
00435.png,"10,2,1,7,9","2,1,7,9,11"
00436.png,"10,9,9,0,0","9,9,0,0,11"
00437.png,"10,1,4,4,3","1,4,4,3,11"
00438.png,"10,9,8,7,1","9,8,7,1,11"
00439.png,"10,4,7,8,4","4,7,8,4,11"
00440.png,"10,3,8,4,1","3,8,4,1,11"
00441.png,"10,0,8,8,6","0,8,8,6,11"
00442.png,"10,8,3,1,1","8,3,1,1,11"
00443.png,"10,6,1,2,1","6,1,2,1,11"
00444.png,"10,1,6,9,6","1,6,9,6,11"
00445.png,"10,9,4,0,0","9,4,0,0,11"
00446.png,"10,8,4,4,6","8,4,4,6,11"
00447.png,"10,3,3,1,7","3,3,1,7,11"
00448.png,"10,9,3,2,6","9,3,2,6,11"
00449.png,"10,4,3,1,8","4,3,1,8,11"
00450.png,"10,2,1,2,3","2,1,2,3,11"
00451.png,"10,6,8,4,3","6,8,4,3,11"
00452.png,"10,5,2,6,7","5,2,6,7,11"
00453.png,"10,3,8,2,3","3,8,2,3,11"
00454.png,"10,6,8,4,3","6,8,4,3,11"
00455.png,"10,0,9,3,3","0,9,3,3,11"
00456.png,"10,9,9,8,3","9,9,8,3,11"
00457.png,"10,6,3,3,6","6,3,3,6,11"
00458.png,"10,3,5,3,9","3,5,3,9,11"
00459.png,"10,1,0,7,8","1,0,7,8,11"
00460.png,"10,6,9,6,3","6,9,6,3,11"
00461.png,"10,0,8,3,9","0,8,3,9,11"
00462.png,"10,9,2,9,3","9,2,9,3,11"
00463.png,"10,2,4,5,2","2,4,5,2,11"
00464.png,"10,3,1,5,3","3,1,5,3,11"
00465.png,"10,5,3,3,0","5,3,3,0,11"
00466.png,"10,9,8,1,9","9,8,1,9,11"
00467.png,"10,5,8,7,0","5,8,7,0,11"
00468.png,"10,6,8,1,0","6,8,1,0,11"
00469.png,"10,7,0,8,7","7,0,8,7,11"
00470.png,"10,7,6,4,1","7,6,4,1,11"
00471.png,"10,6,2,0,3","6,2,0,3,11"
00472.png,"10,8,0,4,8","8,0,4,8,11"
00473.png,"10,7,6,7,4","7,6,7,4,11"
00474.png,"10,1,5,2,9","1,5,2,9,11"
00475.png,"10,4,9,2,6","4,9,2,6,11"
00476.png,"10,4,4,4,5","4,4,4,5,11"
00477.png,"10,0,2,0,0","0,2,0,0,11"
00478.png,"10,1,7,5,2","1,7,5,2,11"
00479.png,"10,1,7,7,0","1,7,7,0,11"
00480.png,"10,0,9,0,1","0,9,0,1,11"
00481.png,"10,3,8,6,4","3,8,6,4,11"
00482.png,"10,4,2,8,5","4,2,8,5,11"
00483.png,"10,1,1,3,7","1,1,3,7,11"
00484.png,"10,3,4,4,1","3,4,4,1,11"
00485.png,"10,1,3,4,0","1,3,4,0,11"
00486.png,"10,1,7,2,2","1,7,2,2,11"
00487.png,"10,0,6,1,1","0,6,1,1,11"
00488.png,"10,7,6,6,7","7,6,6,7,11"
00489.png,"10,8,7,7,2","8,7,7,2,11"
00490.png,"10,3,3,5,0","3,3,5,0,11"
00491.png,"10,8,8,8,7","8,8,8,7,11"
00492.png,"10,0,1,9,4","0,1,9,4,11"
00493.png,"10,5,4,2,2","5,4,2,2,11"
00494.png,"10,1,0,6,6","1,0,6,6,11"
00495.png,"10,7,6,0,2","7,6,0,2,11"
00496.png,"10,3,7,1,8","3,7,1,8,11"
00497.png,"10,4,9,6,3","4,9,6,3,11"
00498.png,"10,7,8,1,6","7,8,1,6,11"
00499.png,"10,5,2,7,5","5,2,7,5,11"
00500.png,"10,2,9,6,0","2,9,6,0,11"
00501.png,"10,3,6,0,1","3,6,0,1,11"
00502.png,"10,2,2,9,2","2,2,9,2,11"
00503.png,"10,8,3,8,1","8,3,8,1,11"
00504.png,"10,7,6,1,6","7,6,1,6,11"
00505.png,"10,1,0,5,2","1,0,5,2,11"
00506.png,"10,0,9,9,0","0,9,9,0,11"
00507.png,"10,5,3,2,6","5,3,2,6,11"
00508.png,"10,7,3,8,8","7,3,8,8,11"
00509.png,"10,0,5,9,2","0,5,9,2,11"
00510.png,"10,0,3,4,7","0,3,4,7,11"
00511.png,"10,1,5,0,4","1,5,0,4,11"
00512.png,"10,6,9,4,9","6,9,4,9,11"
00513.png,"10,7,5,1,9","7,5,1,9,11"
00514.png,"10,0,4,6,4","0,4,6,4,11"
00515.png,"10,3,1,1,5","3,1,1,5,11"
00516.png,"10,0,1,8,7","0,1,8,7,11"
